window,rmse_M0,rmse_M1,rmse_M2,rmse_M3,rmse_M4,rmse_M5,rmse_M6,rmse_M7,rmse_M8,rmse_M9,rmse_M10,rmse_M11,rmse_M12,rmse_M13
31,14.634852177893404,16.835639101439668,20.500585849089294,13.774071483270438,32.88329624709434,34.262892634161155,23.5919575380998,94.15395482743828,37.328988055838224,38.83114206562324,25.670391049765907,25.643931093029178,26.40465031977332,62.09040606903913
32,14.60974531020773,17.911766664870495,21.00338750893137,15.890611407184423,15.31043956116916,15.649074121675216,13.236507211128828,101.12070500248856,45.25344961063626,10.865661540719785,15.044383900161453,14.882787704271033,17.35510997561558,12.646199818583648
33,25.692006123347458,31.15536790946794,36.88919217102541,26.82054966558487,19.179988291051913,16.97939750282248,25.586547803501055,102.48367562355146,78.59633703505078,23.93868635789984,30.50725736169729,30.387367569788207,33.98610544683575,27.14700696419569
34,21.704479603199715,34.71320069366965,42.766111728250344,26.916691744135754,24.83184757253598,24.971526265210922,27.353933158498595,105.98953246115897,69.77607344383311,7.5109877841256125,18.744572381528645,18.571103903221616,21.652251045243926,19.604808823892178
35,10.461060586792682,16.6193774833057,23.101102900225563,12.063325503938183,17.927397338782985,17.6270772849564,16.76576427152122,108.6922747177947,49.331866826411975,21.99242122330648,14.152158286176444,14.272470770138929,13.730914077065702,18.912096916751814
36,18.327140174940393,25.483341048918085,33.4100862823652,18.69494873366642,32.13140228047844,31.26070598674803,29.72119960584622,107.95620670793697,53.63615108880719,12.120828262381456,20.062954751271327,19.993115704997507,21.177160124852133,40.312769684364284
37,13.428597798182112,18.099420392899553,18.934549280733282,15.297431721123488,24.32486633225352,24.282284154445318,20.18195340004942,105.63925550291,63.35292619037718,9.721003911583649,8.395864398770964,8.320232591356087,8.411891637540469,16.77420143747564
38,13.238045109888073,22.308621946930042,20.687894966894596,18.100410317946977,32.86037325923273,31.873723563117085,26.0816721676169,103.26442473230433,39.71759394519932,9.446675734248792,14.666359892726815,14.569828188892663,15.794382400448027,36.86392811069645
39,26.984624033503223,34.72741307542341,33.240018412001035,30.822198284985234,43.23803529372532,44.066304622018485,35.1151959478634,92.91487574135219,26.921606844024105,16.098738572417364,22.662476348808585,22.295770591935465,21.84785427172019,42.15808557950254
40,21.200489643008677,27.191328803719983,24.177573913332182,25.628976669148095,32.60522715683453,36.611475351554404,24.921548142191725,88.04876135768085,33.37264429674734,20.046109276811844,13.285921760348065,13.334720549436858,13.3342691047057,16.115041976409348
41,19.015924332749986,19.20860511482303,18.458272152965723,19.318787217886857,22.408187167897136,23.443315033083355,19.4471874590327,88.8980999446604,35.26051928044274,34.76056755602706,33.15867549186666,33.235135825620745,33.308714231403734,22.846742200106178
42,25.52926438525173,23.673325213941798,26.625752548504078,23.50224989748604,24.498526521327914,25.468379051787736,21.896786203647014,86.53329869065936,55.620764539732114,34.75845935678012,32.09627422617869,32.179619583941765,32.730798150394314,34.0205131091122
43,27.85757941345892,25.746260031183795,29.701142872072154,25.19706385436342,21.907712798249467,25.269536517992556,20.7412339751773,80.28675037017406,68.77296628672379,40.71736113783959,37.51187161248409,37.483261322742756,37.97896503297753,24.788328699943364
44,33.542507125281986,37.47070778861478,37.20227102936234,35.26583532781905,46.072364323368596,42.408453239744475,42.346350096250106,74.94871705504859,51.46043043688473,41.36387650674248,45.67959724071085,45.939124968962716,45.902573878152445,52.60166434224102
45,42.98692234731624,37.11938832247967,38.57297252573722,37.88637063534469,37.80604311030558,39.60101377881501,35.34792960725038,67.77451586756887,51.93285698166558,54.18990089724925,49.438362356565136,49.42360231624859,50.460864460864215,48.01735291200857
46,36.764821426252965,37.6731235636576,37.5334979193899,34.85762647425602,49.05935050759008,41.24280577981306,43.363550252838174,729.5394260864813,57.82073114486794,48.307846146330405,53.080130086317375,53.196797617568926,54.03857431340079,50.274068552084024
47,60.94158545747284,48.242426642711976,50.15146059690707,49.896297493000105,48.275263861265934,51.33687935186274,42.65261813907945,1101.6483288113652,59.914726545150586,100.00687172661848,85.68008448576413,85.2891261201372,87.91032197791978,67.33718265845485
48,49.51602310236976,65.16741076221989,64.81713704225633,55.23174355549703,87.73891247981885,76.8032197238335,71.44034697745087,1464.126483618915,57.01563430015603,48.78901184896295,51.834974586544035,52.08713665911494,52.05013315599901,65.76053415526722
49,65.94416104010205,112.65216392073995,111.68331357436264,91.8459032200793,152.92519552892566,135.62583619442745,126.53141691677408,1816.3554219014902,66.63312294704745,52.705886943136086,61.09838870436422,62.11222280004417,60.12299808607367,104.85924163543204
50,107.99757345908601,169.76389863408576,169.30291595704978,142.95032722593808,208.1891904438813,189.52109328015794,178.29147974130504,2180.8785313950652,52.62874253613788,73.77366180086396,82.18724509771718,82.97811149893982,80.64091544581727,117.32118578612386
51,120.7869702450054,177.76086515522982,175.79257162656893,153.51150152862022,211.07521145953098,193.7932231051309,184.91795778737827,2561.647368582692,62.56254171805362,52.74143347229473,50.480472076440414,50.48712094013946,50.761685100517894,56.41454190021974
52,89.78982688526109,113.97297701069587,113.02364231329783,102.7281808082581,138.87796462641754,127.52525636480601,123.01444199706361,2983.1016346975803,58.001641881515965,121.38350528926046,126.98698563879658,127.0303070699768,127.87636953446902,119.860686535656
53,231.34808180101135,267.890743426267,270.7187823832179,249.63237136059,317.86983113923134,305.96435090816186,288.2083589628182,3531.12154367613,79.28734561738933,127.30225632968363,105.7011734974898,105.67553474014707,105.69405748800602,173.32782376344105
