window,mape_M0,mape_M1,mape_M2,mape_M3,mape_M4,mape_M5,mape_M6,mape_M7,mape_M8,mape_M9,mape_M10,mape_M11,mape_M12,mape_M13
32,6.043849920428488,7.5580764414337755,8.610095750481188,6.747624156113587,6.156071986288029,6.165567956182342,5.24779240364925,45.92186945233502,20.071594499258712,4.377418981721391,6.072864674732355,6.002993884219836,7.097336682527952,5.459072399370321
33,10.990045777710792,12.854093058759593,14.91895080264273,11.358659739145944,7.143320249498304,6.425984588643639,9.688052394498317,46.754529601566944,35.255363749663616,10.84956683700749,13.289558471162488,13.247043299766737,14.85857582023968,10.700584114988821
34,8.817432787763778,14.31207649468419,17.51657626578882,11.170754081699286,9.455166721239145,9.37649743127705,10.725262902361303,47.412067697241454,29.17435913830276,2.992786781590488,7.564160213530403,7.493425695914488,9.005073485136744,6.963076117650024
35,3.8849354813218855,5.96297191073495,7.8788047241706085,4.621489070425167,6.722043255813831,6.315309803489407,6.250699108745892,48.014036589343846,20.6298655505405,9.322419079430995,5.718403730112969,5.774902800516202,5.543990727533915,7.320891127728098
36,7.255850400675564,9.444981464948178,13.077374892465931,6.774208446746663,12.155503528141654,11.74232438639878,11.61628445240237,46.76896032324612,22.308777751419708,4.734448684271968,8.010484342290368,7.992281142130466,8.522975353133905,16.08947393854855
37,3.765555736847347,6.069857696031537,6.497054293235418,4.89047809635222,8.18831936104246,7.864977319877428,6.80630744577886,44.93258061820874,25.066146628828868,3.571483292174122,2.754387728969715,2.729541897215751,2.8962810888110884,6.409755210483439
38,3.7221272082899217,7.797818593357402,7.291561332013612,5.866764846172813,11.509827683439289,10.891859492690092,9.139876933860775,42.87328585422466,14.227166523933551,3.0896069790423404,5.515857789711921,5.469376119751488,5.9079757351032,14.032182465297332
39,8.17272904427377,12.123087364739712,11.790882647843887,10.0986010210423,15.381934813786243,15.40254538702605,12.24119645086139,38.11194284081027,8.932321370391923,5.87025580780714,8.7746923982519,8.605051367396138,8.356010465170845,16.244044066086637
40,6.519730263722636,8.546852958594327,8.022489352642207,7.7501457195597565,10.424216628199876,12.502289951090384,7.185036812568215,35.22912054111505,11.957847230729373,6.718461321233937,4.804459975174783,4.836546163542148,4.733490849800273,4.59589761346996
41,5.925015818799438,6.121700793637527,5.974057376840455,6.036883422189032,6.473294848186713,6.706749236464134,6.2083528436007525,33.93305358416399,10.918326651187932,10.475561426120732,10.15644703200677,10.165635133948008,10.170313794614772,7.6149382534336185
42,7.730382762312808,7.427752381824993,7.605800057750471,7.403451975944256,7.294519320759285,7.73913932391492,6.860324300058471,31.622937430128783,17.707902812575195,9.060943617409595,8.701125950298442,8.693177648134274,8.914057396160906,11.423300546175351
43,8.768223610700812,7.994336136293508,8.708125490030154,8.053602119804731,7.4081229964596425,7.4886766068159565,7.002668340289449,28.43590860785114,21.864115848602413,11.096933757366525,9.423602687971757,9.391239975722419,9.592345332340992,6.4604718455605505
44,12.388985940435418,12.929889269086805,13.04634080323816,12.55207987019968,15.746300969960568,14.798252210306426,14.394889691781664,27.986754970259366,17.055388684986333,13.893398107770718,14.655650201384821,14.688280561538242,14.84896176657112,17.075599559974684
45,14.921148929516232,13.206166278963302,13.735811826849305,13.575863063612307,12.248498629121991,14.027073829948064,11.772895632078688,23.974488306215832,17.816659110803613,17.95903635270286,16.974260567195124,16.92818527011631,17.393793616172935,14.855530662748068
46,13.499018843042613,12.932683704463265,13.142625841448535,12.073390542106171,16.633132781361933,13.832781435485392,14.897673399969538,97.21761512018064,19.550944657148452,16.5730296598219,18.15405046418464,18.155931549988942,18.615016506441133,16.03131938958859
47,19.408669493265123,15.843896615274536,16.350008918628216,15.786425098832762,16.4312472108472,16.77857208175579,14.251149397770346,184.83094161463322,19.495197043849018,30.41019651003845,28.178632678621724,28.109606085795196,28.77211385752989,23.362147183649405
48,17.232891445201574,19.83010909510373,20.07005135600196,18.01765549435602,25.02373996648203,22.936798833592157,21.076579646509142,319.49554181277813,19.174097566582873,15.967263240002335,17.336692845922137,17.441335893229645,17.36288630515834,21.275021356184315
49,20.893144562021522,32.582101366069246,32.48106090403662,26.62542348675193,46.29491875455918,40.713015350903504,37.85659455680173,470.3563606047868,21.5541927741825,18.502395333778356,20.859722688366546,21.16575109204511,20.497188124306653,37.582726036060706
50,35.14446749859134,56.562079996184046,56.48615797674731,47.0296175188707,70.27455313557213,63.971375146565066,59.832045697864785,655.7363597187032,15.423436647797296,27.23813982999097,30.103126011216435,30.477334092138353,29.258804514029624,45.45785404314983
51,41.90528992359486,61.06984777128779,60.483913133188636,52.388385365691256,72.30014820905214,66.61674984879346,63.01444146575559,866.0892773023382,24.105742405644065,16.08734240213319,15.130668804917796,15.130342548626514,15.232371905381765,22.559889647396574
52,32.02758570296657,41.25159849643045,40.96608800345249,37.381899861069876,48.88440891270422,45.380579737828825,43.97417051961315,1078.3982983265746,21.01701229564994,41.92272935043213,44.81994297306138,44.83673459569273,45.18803615403217,40.31423319504665
53,100.36119613584482,118.25035040152704,119.39306941119821,109.36045546804168,140.32870700202872,134.80793328656446,126.54910822131735,1615.3604938646924,29.810109424870678,55.73984408882274,46.50109692605228,46.47455745291821,46.48109059948455,77.42359403208636
