data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,precip_total
2023-11-12,202346,571,571,571,571,3304557,0.89876497,8.6177635,0,1,3.3045572023462003e+17,2024-11-19,1.0798972,Rio de Janeiro,6625849,25.3153285714286,91.1391,1,0,1,72.6433142857143,47.7055571428571,29.4324,35.3842285714286,331,NA,NA,NA,NA,7.9344
2023-11-19,202347,900,900,900,900,3304557,1,13.583165,0,1,330455720234720060,2024-11-29,1.4744326,Rio de Janeiro,6625849,23.4174285714286,89.5124857142857,1,1,2,78.9135571428571,65.1963142857143,25.9097428571429,29.3165857142857,527,NA,NA,NA,NA,334.0101
2023-11-26,202348,983,983,983,983,3304557,1,14.8358345,0,4,3.3045572023482003e+17,2024-12-03,1.4102958,Rio de Janeiro,6625849,22.2267714285714,91.1691142857143,1,1,2,77.6062571428571,61.8870285714286,25.2683142857143,28.9385,570,NA,NA,NA,NA,111.796
2023-12-03,202349,1149,1149,1149,1149,3304557,1,17.341173,0,4,330455720234920060,2024-12-10,1.3718576,Rio de Janeiro,6625849,24.3112285714286,93.2488285714286,1,1,2,79.2977142857143,62.8614857142857,27.1073,30.8049428571429,726,NA,NA,NA,NA,136.8832
2023-12-10,202350,1411,1411,1411,1411,3304557,1,21.295383,0,4,330455720235020100,2024-12-17,1.4137423,Rio de Janeiro,6625849,21.6109714285714,90.9290428571429,1,1,2,76.1185428571429,57.9140571428571,24.8948142857143,28.9311714285714,974,NA,NA,NA,NA,90.9181
2023-12-17,202351,1098,1098,1098,1098,3304557,0.14507446,16.57146,0,4,330455720235120060,2024-12-23,0.9563452,Rio de Janeiro,6625849,22.9563,91.3377,1,0,2,74.3208857142857,53.5911857142857,26.2965571428571,30.6987571428571,922,NA,NA,NA,NA,14.2447
2023-12-24,202352,1198,1198,1198,1198,3304557,0.26831552,18.080702,0,4,330455720235220100,2024-12-30,0.9752268,Rio de Janeiro,6625849,23.6519142857143,86.8901857142857,1,0,2,71.2181428571429,53.9967142857143,27.0679857142857,30.9614,994,NA,NA,NA,NA,76.664
2023-12-31,202401,2421,2421,2421,2421,3304557,1,36.538715,0,4,330455720240120060,2025-01-07,1.9114681,Rio de Janeiro,6625849,22.6193142857143,89.3218857142857,1,1,2,79.3918714285714,65.3508857142857,24.6023857142857,27.2626285714286,1501,NA,NA,NA,NA,97.6419
2024-01-07,202402,3010,3010,3010,3010,3304557,1,45.42814,0,4,330455720240220100,2025-01-14,1.9128249,Rio de Janeiro,6625849,24.4706428571429,90.7496,1,1,2,73.7359571428571,55.2503714285714,27.9452,32.0431,1767,NA,NA,NA,NA,119.569
2024-01-14,202403,3800,3800,3800,3800,3304557,1,57.35114,0,4,330455720240320100,2025-01-21,1.6847337,Rio de Janeiro,6625849,25.7803571428571,91.2030285714286,1,1,2,76.0210142857143,57.8434428571429,28.9142142857143,32.9022285714286,2267,NA,NA,NA,NA,96.5672
