epiweek,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg
202550,3304557,23.565714285714286,31.999642857142856,27.106014285714288,73.32730000000001,49.81138571428571,85.68895714285715,68.52891428571428
202551,3304557,22.427457142857143,28.346700000000002,24.9052,238.38830000000002,65.25267142857143,91.38311428571429,79.47361428571429
202552,3304557,23.209285714285713,33.28205714285714,28.01137142857143,4.0392,42.306914285714285,87.47934285714285,65.52817142857143
202553,3304557,25.388385714285715,32.84407142857143,28.5879,106.70819999999999,51.64044285714286,84.80092857142857,69.04154285714286
202601,3304557,22.333885714285714,29.361214285714286,25.564585714285712,62.8427,54.3977,88.55614285714286,73.41924285714286
202602,3304557,24.053685714285713,34.00044285714286,28.739114285714287,16.5207,37.62558571428571,82.4535,61.1622
202603,3304557,21.91155714285714,25.81367142857143,23.651028571428572,407.9701,66.90201428571429,89.82232857142857,79.05415714285714
202604,3304557,22.427585714285716,29.062785714285713,25.341314285714287,315.2821,65.85302857142857,93.85694285714285,82.22565714285714
202605,3304557,23.847885714285713,30.025457142857142,26.350571428571428,384.5805,67.4946,95.45074285714286,84.55414285714286
202606,3304557,23.073283333333332,28.8341,25.58515,332.2218,65.28781666666667,93.19981666666666,82.13438333333333
