data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg
2022-09-11,202237,123,123,123,123,4209102,0.99470127,20.580332,0,1,420910220223719700,2023-11-24,1.4268326,Joinville,597658,14.2857142857143,97.3195614285714,0,1,1,89.2817514285714,78.1974912857143,16.2293232857143,18,15,NA,NA,NA,NA,4209102,13.018657142857142,17.521,14.930557142857143,374.2104,76.08888571428571,96.77674285714286,88.52199999999999
2022-09-18,202238,91,91,91,91,4209102,0.5596713,15.226099,0,1,420910220223819700,2023-11-24,1.0225816,Joinville,597658,13.8571428571429,99.11983,0,0,1,80.0423385714286,66.9436057142857,17.5669172857143,20.4285714285714,8,NA,NA,NA,NA,4209102,12.1914,20.403457142857143,15.967171428571428,77.2671,58.9386,89.20075714285714,77.27987142857143
2022-09-25,202239,66,66,66,66,4209102,0.007967732,11.043105,0,1,420910220223919700,2023-11-24,0.6835028,Joinville,597658,14.8571428571429,98.2263757142857,0,0,1,88.8584941428571,77.7037332857143,16.9650914285714,18.8571428571429,4,NA,NA,NA,NA,4209102,13.6052,18.541485714285713,15.7202,191.9293,74.82351428571428,95.03117142857144,86.55048571428571
2022-10-02,202240,65,65,65,65,4209102,0.023082806,10.875785,0,1,420910220224019700,2023-11-24,0.72481954,Joinville,597658,16.4285714285714,97.3855511428571,0,0,1,80.2921728571429,64.3261872857143,19.795322,22.5714285714286,5,NA,NA,NA,NA,4209102,14.838871428571428,20.933442857142857,17.437271428571428,151.8199,66.43707142857143,95.36241428571428,83.238
2022-10-09,202241,70,70,70,70,4209102,0.344074,11.712384,0,1,420910220224119700,2023-11-24,0.9356322,Joinville,597658,17,98.2876914285714,0,0,1,89.2842234285714,79.034635,19.3251884285714,21.4285714285714,10,NA,NA,NA,NA,4209102,15.404885714285712,20.93062857142857,17.645414285714285,269.6105,78.22914285714286,97.06914285714286,90.28064285714284
2022-10-16,202242,88,88,88,88,4209102,0.93540853,14.72414,0,1,420910220224219700,2023-11-24,1.2742887,Joinville,597658,18.4285714285714,100,1,0,1,88.722639,74.6932807142857,21.3809522857143,24.4285714285714,8,NA,NA,NA,NA,4209102,16.81622857142857,22.178685714285713,19.219471428571428,319.2113,77.98754285714286,98.0297,90.39535714285716
2022-10-23,202243,87,87,87,87,4209102,0.85507387,14.55682,0,1,420910220224319700,2023-11-24,1.1816163,Joinville,597658,19.2857142857143,98.2843377142857,1,0,1,81.8476048571429,67.7208532857143,22.6270678571429,25.8571428571429,3,NA,NA,NA,NA,4209102,17.384685714285713,24.756485714285713,20.518542857142855,92.3362,67.1806,97.22371428571428,84.56755714285714
2022-10-30,202244,82,82,82,82,4209102,0.5207124,13.7202215,0,1,420910220224419700,2023-11-24,1.0081406,Joinville,597658,15.1428571428571,97.3259462857143,0,0,1,75.96146,54.73534,19.9030608571429,24,2,NA,NA,NA,NA,4209102,13.803228571428573,20.2601,16.817557142857144,233.5199,64.6983,91.96185714285714,79.97062857142858
2022-11-06,202245,118,118,118,118,4209102,0.98704696,19.743732,0,1,420910220224519700,2023-11-24,1.3674763,Joinville,597658,15.4285714285714,99.1263634285714,0,1,1,81.2680444285714,65.466064,19.9407895714286,23.4285714285714,2,NA,NA,NA,NA,4209102,13.8868,21.69732857142857,17.422857142857143,80.639,65.243,96.45685714285716,83.44458571428571
2022-11-13,202246,124,124,124,124,4209102,0.97897387,20.747652,0,3,420910220224619700,2023-11-24,1.3179939,Joinville,597658,17.5714285714286,96.5699857142857,0,1,1,74.181029,55.759434,22.5852125714286,26.8571428571429,1,NA,NA,NA,NA,4209102,16.263957142857144,25.493342857142856,20.8052,102.3873,51.63601428571429,91.71104285714286,72.36147142857143
2022-11-20,202247,82,82,82,82,4209102,0.036950804,13.7202215,0,3,420910220224719700,2023-11-24,0.77035016,Joinville,597658,20.2857142857143,97.4365414285714,1,0,1,85.9328128571429,75.4097774285714,22.7330825714286,25,1,NA,NA,NA,NA,4209102,17.95172857142857,23.462514285714285,20.31492857142857,213.3444,68.44434285714286,96.08722857142855,84.96025714285715
2022-11-27,202248,96,96,96,96,4209102,0.20233007,16.062698,0,1,420910220224819700,2023-11-24,0.88995326,Joinville,597658,21.5714285714286,100,1,0,1,91.7869142857143,81.6331257142857,23.5049767142857,25.5714285714286,4,NA,NA,NA,NA,4209102,19.2863,23.4515,21.0328,775.3428,82.14377142857143,98.66744285714286,92.49364285714286
2022-12-04,202249,139,139,139,139,4209102,0.9942549,23.257448,0,2,420910220224919700,2023-12-17,1.3889406,Joinville,597658,22.5714285714286,99.1579742857143,1,1,1,84.6739521428571,71.9761215714286,25.7729321428571,28.7142857142857,6,NA,NA,NA,NA,4209102,20.507,26.879185714285715,23.197314285714285,266.3025,72.88058571428571,98.40095714285714,88.64025714285714
2022-12-11,202250,93,93,93,93,4209102,0.21575408,15.560739,0,2,420910220225019700,2023-12-27,0.89410335,Joinville,597658,20.6666666666667,97.97659,1,0,1,80.9022593333333,65.3785265,24.2534806666667,27.6666666666667,12,NA,NA,NA,NA,4209102,18.804142857142857,25.169857142857143,21.653557142857142,308.2712,65.9174,94.25962857142856,81.09078571428572
2022-12-18,202251,65,65,65,65,4209102,3.268675e-4,10.875785,0,2,420910220225119740,2023-12-27,0.5925936,Joinville,597658,19.5,100,1,0,1,92.71364,83.825815,21.125,23,27,NA,NA,NA,NA,4209102,17.274028571428573,21.769185714285715,19.282485714285716,280.8214,75.66282857142858,95.81485714285716,87.1362
2022-12-25,202252,82,82,82,82,4209102,0.13892937,13.7202215,0,2,420910220225219700,2024-01-12,0.85014415,Joinville,597658,21.3333333333333,98.02084,1,0,1,89.7775846666667,82.1353266666667,23.2643273333333,24.6666666666667,7,NA,NA,NA,NA,4209102,18.973385714285715,25.866585714285716,22.178542857142855,143.6183,67.02622857142858,97.45222857142858,84.28737142857143
2023-01-01,202301,105,105,105,105,4209102,0.9774083,17.568577,0,2,420910220230119740,2024-01-19,1.3458949,Joinville,597658,19.7142857142857,99.1579742857143,1,1,1,80.2703285714286,65.2102897142857,24.5406017142857,28,11,NA,NA,NA,NA,4209102,18.054742857142855,24.996114285714285,21.19658571428571,308.27459999999996,64.6646142857143,96.72347142857144,83.72588571428572
2023-01-08,202302,119,119,119,119,4209102,0.9977662,19.911053,0,3,420910220230219800,2024-01-26,1.5026135,Joinville,597658,21.2857142857143,97.5407685714286,1,1,1,84.6712942857143,71.3524112857143,24.5075185714286,27.7142857142857,10,NA,NA,NA,NA,4209102,18.90742857142857,26.063728571428573,22.1943,157.374,68.1546,96.87247142857144,85.20992857142858
2023-01-15,202303,106,106,106,106,4209102,0.75786793,17.735895,0,3,420910220230319740,2024-01-26,1.1032548,Joinville,597658,24.8571428571429,93.4514542857143,1,0,1,93.4514542857143,93.4514542857143,24.8571428571429,24.8571428571429,13,NA,NA,NA,NA,4209102,21.193471428571428,26.323128571428573,23.171185714285716,514.6742,77.28067142857142,98.09571428571428,90.06565714285715
2023-01-22,202304,160,160,160,160,4209102,0.9986088,26.771164,0,2,420910220230419800,2024-01-30,1.441717,Joinville,597658,24.8571428571429,87.5084917142857,1,1,1,87.138526,86.7685602857143,24.9285714285714,25,19,NA,NA,NA,NA,4209102,20.208414285714287,28.83172857142857,24.1093,93.6129,57.21974285714286,97.55878571428572,80.91245714285715
2023-01-29,202305,175,175,175,175,4209102,0.9980379,29.28096,0,3,420910220230519740,2024-02-07,1.3976285,Joinville,597658,24.8571428571429,94.2993385714286,1,1,1,91.0092687142857,86.0790535714286,25.6917294285714,27,41,NA,NA,NA,NA,4209102,21.64485714285714,27.624057142857144,24.2874,840.4594,68.97401428571429,96.45145714285714,84.72317142857143
2023-02-05,202306,226,226,226,226,4209102,0.9999487,36.570824,0,3,420910220230619800,2024-02-15,1.4974269,Joinville,617979,25,88.8785352857143,1,1,1,88.4909452857143,88.1033552857143,25.1428571428571,25.2857142857143,63,NA,NA,NA,NA,4209102,20.17037142857143,27.50164285714286,23.562328571428573,91.2986,64.83907142857143,97.01081428571428,83.67361428571428
2023-02-12,202307,273,273,273,273,4209102,0.9999847,44.176258,0,3,420910220230719740,2024-02-21,1.4819261,Joinville,617979,24.8095238095238,95.5782728571429,1,1,1,92.6715855238095,89.4882798095238,25.3333334285714,25.9047619047619,108,NA,NA,NA,NA,4209102,20.78798571428571,27.536657142857145,23.73712857142857,330.3589,64.81024285714285,95.89165714285714,83.82667142857143
2023-02-19,202308,468,468,468,468,4209102,1,75.73073,0,3,420910220230819800,2024-02-27,2.0089629,Joinville,617979,20.8571428571429,96.82372,1,1,2,86.7682278571429,75.1423838571429,23.4774435714286,26.1428571428571,199,NA,NA,NA,NA,4209102,19.193942857142854,24.502771428571428,21.529885714285715,234.0566,74.12717142857143,95.1294,85.54605714285714
2023-02-26,202309,1132,1132,1132,1132,4209102,1,183.17775,0,3,420910220230919800,2024-03-05,3.251672,Joinville,617979,23.4074074074074,95.7213674074074,1,1,2,94.1641205555556,92.6047575555556,23.7098764444444,23.962962962963,543,NA,NA,NA,NA,4209102,20.267857142857142,26.62204285714286,23.10508571428571,186.4355,70.10211428571428,95.88805714285716,85.4207
2023-03-05,202310,1344,1344,1344,1344,4209102,1,217.48312,0,4,420910220231019800,2024-03-13,2.195229,Joinville,617979,23.4074074074074,95.9332703703704,1,1,2,94.6737235555556,93.4333259259259,23.5555555555556,23.7037037037037,526,NA,NA,NA,NA,4209102,20.67701428571429,26.627514285714284,23.22907142857143,454.9466,73.26378571428572,96.254,87.28831428571428
2023-03-12,202311,2294,2294,2294,2294,4209102,1,371.21002,0,4,420910220231119800,2024-03-19,2.2278903,Joinville,617979,22.6296296296296,98.25992,1,1,2,95.7778666296296,93.297922962963,23.0308642962963,23.4814814814815,945,NA,NA,NA,NA,4209102,19.8796,25.265685714285713,22.244957142857142,198.0941,75.21945714285715,98.33495714285716,88.96344285714285
2023-03-19,202312,3745,3745,3745,3745,4209102,1,606.0076,0,4,420910220231219840,2024-03-27,2.3496203,Joinville,617979,22.5714285714286,98.31588,1,1,2,84.2599571428571,71.3337724285714,25.9075188571429,28.7142857142857,1853,NA,NA,NA,NA,4209102,20.44867142857143,28.116128571428572,23.728285714285715,58.2914,62.34841428571429,97.46442857142856,84.05332857142857
2023-03-26,202313,4894,4894,4894,4894,4209102,1,791.9363,0,4,420910220231319800,2024-04-02,1.9781545,Joinville,617979,22.0769230769231,94.5033005384615,1,1,2,85.3305309230769,75.4699684615385,23.9561404230769,25.8461538461538,2990,NA,NA,NA,NA,4209102,19.844942857142858,26.514757142857142,22.721614285714285,131.0493,65.88694285714286,96.10744285714286,84.09325714285714
2023-04-02,202314,5383,5383,5383,5383,4209102,1,871.0652,0,4,420910220231419840,2024-04-08,1.4946128,Joinville,617979,18.4285714285714,100,1,1,2,84.168222,68.1148818571429,22.3909775714286,25.7142857142857,4158,NA,NA,NA,NA,4209102,17.384571428571427,22.83017142857143,19.811785714285715,175.9433,71.22124285714285,95.63998571428571,85.6417
